"customer_id","customer_name","segment","age","postal_code"
"GH-14485","Gene Hale","Corporate",28,"75080"
"SN-20710","Steve Nguyen","Home Office",46,"77041"
"LC-16930","Linda Cazamias","Corporate",31,"60540"
"ES-14080","Erin Smith","Corporate",20,"32935"
"ON-18715","Odella Nelson","Corporate",27,"55122"
"PO-18865","Patrick O'Donnell","Consumer",64,"48185"
"LH-16900","Lena Hernandez","Consumer",66,"19901"
"DP-13000","Darren Powers","Consumer",40,"47150"
"JM-15265","Janet Molinari","Corporate",23,"10024"
"TB-21055","Ted Butterfield","Consumer",34,"12180"
"KM-16720","Kunst Miller","Consumer",69,"90004"
"PS-18970","Paul Stevenson","Home Office",31,"60610"
"BS-11590","Brendan Sweed","Corporate",45,"85234"
"KD-16270","Karen Daniels","Consumer",59,"22153"
"HM-14980","Henry MacAllister","Consumer",35,"10009"
"JE-15745","Joel Eaton","Consumer",25,"38109"
"KB-16600","Ken Brennan","Corporate",29,"77041"
"SC-20770","Stewart Carmichael","Corporate",18,"35601"
"DN-13690","Duane Noonan","Consumer",42,"94122"
"JC-16105","Julie Creighton","Corporate",56,"27707"
"CS-12400","Christopher Schild","Home Office",33,"60623"
"PG-18895","Paul Gonzalez","Consumer",64,"55901"
"GM-14455","Gary Mitchum","Home Office",64,"77095"
"JS-15685","Jim Sink","Corporate",33,"90036"
"KB-16315","Karl Braun","Consumer",70,"55407"
"RB-19705","Roger Barcio","Home Office",63,"97206"
"PN-18775","Parhena Norris","Home Office",35,"10009"
"KD-16345","Katherine Ducich","Consumer",33,"94122"
"ER-13855","Elpida Rittenbach","Corporate",56,"55106"
"RB-19465","Rick Bensley","Home Office",18,"60610"
"GZ-14470","Gary Zandusky","Consumer",64,"55901"
"LC-16870","Lena Cacioppo","Consumer",63,"80013"
"JM-15250","Janet Martin","Consumer",62,"28205"
"PA-19060","Pete Armstrong","Home Office",31,"60462"
"CV-12805","Cynthia Voltz","Corporate",55,"10035"
"CL-12565","Clay Ludtke","Consumer",36,"50322"
"RC-19960","Ryan Crowe","Consumer",34,"43229"
"DK-13090","Dave Kipp","Consumer",24,"98103"
"GG-14650","Greg Guthrie","Corporate",51,"37620"
"SC-20725","Steven Cartwright","Consumer",28,"19805"
"AD-10180","Alan Dominguez","Home Office",52,"77041"
"PF-19165","Philip Fox","Consumer",30,"61701"
"TS-21610","Troy Staebel","Consumer",33,"85023"
"LS-16975","Lindsay Shagiari","Home Office",66,"90004"
"DW-13585","Dorothy Wardle","Corporate",62,"43229"
"LC-16885","Lena Creighton","Consumer",31,"95661"
"JD-15895","Jonathan Doherty","Corporate",57,"19140"
"SH-19975","Sally Hughsby","Corporate",60,"94122"
"SG-20080","Sandra Glassco","Consumer",52,"64055"
"HA-14920","Helen Andreada","Consumer",48,"91104"
"MG-17680","Maureen Gastineau","Home Office",26,"43055"
"JE-16165","Justin Ellison","Corporate",49,"53132"
